0, MGM Holdings Inc. is a Delaware-registered pure holding company and the parent company of the American media company Metro-Goldwyn-Mayer Inc. Through this holding company MGM creditors own the Hollywood studio. Its headquarters are in Beverly Hills California.
0, Snakk Media (NZX: SNK ) is a mobile advertising company founded by Derek Handley and Andrew Jacobs in 2010. Snakk Media listed on the New Zealand Exchange in March 2013.
1, The Fulton County School System is a school district headquartered in East Point Georgia United States. The system serves the area of Fulton County Georgia outside the Atlanta city limits (which are served by Atlanta Public Schools).
4, Patrick Antony Chinamasa is a Zimbabwean politician who has served in the government of Zimbabwe as Minister of Finance since 2013. Previously he served for years as Minister of Justice.
9, Thala manolae is a species of small sea snail marine gastropod mollusk in the family Costellariidae the ribbed miters.
10, Peucedanum camerunensis is a species of flowering plant in the Apiaceae family. It is found only in Cameroon with natural habitat in subtropical or tropical dry lowland grassland.
5, The Tachikawa Ki-36 (named Ida in Allied reporting code) was a Japanese army cooperation aircraft of World War II. It was a two-seat low-wing monoplane with a single piston-engine and a fixed tailwheel-type undercarriage.
11, Yo Te Pido Amor is the sixth album by Mexican iconic pop singer Yuri. It was released on November 21 1985. She returned with a new label EMI Music and once again it was a huge success.
1, Hellenic College and the Holy Cross Greek Orthodox School of Theology (HCHC) is an Orthodox Christian liberal arts college and seminary in Brookline Massachusetts.
3, Dwight Henry Sloan (April 7 1914  March 18 1998) was an American football quarterback in the National Football League. He played for the Chicago Cardinals and Detroit Lions. He played college football for the Arkansas Razorbacks.
2, Himesh Reshammiya (born 23 July 1973) is an Indian music director singer actor television producer lyricist film producer script writer and distributor.
0, Hancock Fabrics is a specialty retailer of crafts and fabrics based in Baldwyn Mississippi United States. Hancock Fabrics operates 266 stores in 37 states under the Hancock Fabrics name.
0, HSBC Mexico S.A. the principal operating company of Group Financiero HSBC S.A. de C.V. is one of Mexicos four largest banking and financial service companies with 1400 branches and 5200 ATMs. HSBC purchased Banco Internacional S.A.
10, Michelia punduana is a species of plant in the Magnoliaceae family. It is endemic to the Meghalaya subtropical forests in India. It is threatened by habitat loss.
11, You Can't Really Miss Me If I Never Go Away is the first EP by Donnie Iris released in 2008.
10, Daviesia is a genus of flowering plants in the family Fabaceae that are native to Australia. The genus is named in honour of Hugh Davies a Welsh botanist.Species include:
12, The Buddy Holly Story is a 1978 biographical film which tells the life story of rock musician Buddy Holly.
3, Anl Ko (born 29 January 1995) is a Turkish footballer who plays as a midfielder for Charlton Athletic on loan from Standard Lige.
8, Sagharchi (Persian:  also Romanized as Sgharch; also known as Sqarch) is a village in Anguran Rural District Anguran District Mahneshan County Zanjan Province Iran. At the 2006 census its population was 130 in 33 families.
